22,93,1,51
20,93,2,40
21,93,3,46
32,93,4,179
30,93,5,175
33,93,6,181
1,76,1,18
2,76,2,20
44,76,3,203
34,76,4,183
24,86,1,56
27,86,2,62
17,86,3,36
28,86,4,170
29,86,5,173
35,86,6,185
25,99,1,58
26,99,2,60
23,99,3,51
31,99,4,177
45,219,1,229
46,219,2,235
36,219,3,187
37,219,4,189
38,219,5,191
39,219,6,193
40,219,7,195
42,219,8,199
43,219,9,201
41,219,10,197
10,51,0,29
18,51,0,38
7,40,0,26
5,40,0,24
14,40,0,33
11,40,0,30
9,40,0,28
6,46,0,24
4,46,0,23
15,46,0,33
3,46,0,22
8,62,0,27
12,62,0,31
19,62,0,39
13,62,0,32
16,62,0,35
